date,week,lecture_topic,reading_title,reading_url,category,priority,notes
2025-02-04,Week 1,Introduction,"Foundations and Trends in Multimodal Machine Learning: Principles, Challenges, and Open Questions",https://arxiv.org/abs/2209.03430,Multimodal learning,must-read,从原则、挑战和开放问题层面总结多模态机器学习，为课程多模态模块提供总览框架。
2025-02-04,Week 1,Introduction,Multimodal Machine Learning: A Survey and Taxonomy,https://arxiv.org/abs/1705.09406,Multimodal learning,must-read,按多模态表示、翻译、对齐、融合、协同学习等任务整理早期多模态学习 taxonomy。
2025-02-04,Week 1,Introduction,Representation Learning: A Review and New Perspectives,https://arxiv.org/abs/1206.5538,"Data, representation, and generalization",must-read,系统梳理表示学习的目标、方法和开放问题，是理解后续 self-supervised 与 foundation model 的基础综述。
2025-02-11,Week 2,"Foundation 1: Data, structure, information","Machine learning: Trends, Perspectives, and Prospects",https://www.science.org/doi/abs/10.1126/science.aaa8415,"Data, representation, and generalization",recommended,综述机器学习的发展趋势、前景和关键研究方向。
2025-02-11,Week 2,"Foundation 1: Data, structure, information",Representation Learning: A Review and New Perspectives,https://arxiv.org/abs/1206.5538,"Data, representation, and generalization",must-read,系统梳理表示学习的目标、方法和开放问题，是理解后续 self-supervised 与 foundation model 的基础综述。
2025-02-11,Week 2,"Foundation 1: Data, structure, information","Foundations and Trends in Multimodal Machine Learning: Principles, Challenges, and Open Questions",https://arxiv.org/abs/2209.03430,Multimodal learning,must-read,从原则、挑战和开放问题层面总结多模态机器学习，为课程多模态模块提供总览框架。
2025-02-11,Week 2,"Foundation 1: Data, structure, information","Geometric Deep Learning: Grids, Groups, Graphs, Geodesics, and Gauges",https://arxiv.org/abs/2104.13478,Model architectures,must-read,用对称性、群、图、流形等视角统一解释不同结构数据上的深度学习模型。
2025-02-14,Week 2,Foundation 2: Practical AI tools,A Recipe for Training Neural Networks,https://karpathy.github.io/2019/04/25/recipe/,AI research foundations,must-read,给出神经网络训练、debug 和逐步扩展实验的实践流程，对工程训练闭环直接有用。
2025-02-14,Week 2,Foundation 2: Practical AI tools,Fine-tuning a Code LLM on Custom Code on a single GPU,https://colab.research.google.com/drive/1EDsjYRrAiujUew0GRJ_hyVoNMsSDnlnx?usp=sharing,Large foundation models,recommended,与《Foundation 2: Practical AI tools》相关；核心贡献需进一步阅读确认。
2025-02-14,Week 2,Foundation 2: Practical AI tools,MAS.S60 Pytorch Introduction,https://colab.research.google.com/drive/1SoTu6gvYcLNDqPwNPTWmsSYF-l-UfHPx?usp=sharing,AI research foundations,optional,与《Foundation 2: Practical AI tools》相关；核心贡献需进一步阅读确认。
